paper_title,algorithm_name,implemented,module_path,priority,notes
"Revisiting the Alpha Algorithm To Enable Real-Life Process Discovery Applications (2023)",Alpha Algorithm,YES,src/rust_implementations/paper_algorithms/algorithms/alpha/mod.rs,high,"Fundamental process discovery algorithm using alpha relations to construct Petri nets from event logs"
"Heuristics Miners for Streaming Event Data (2012)",Heuristic Miner,YES,src/rust_implementations/paper_algorithms/algorithms/heuristic_miner/mod.rs,high,"Noise-tolerant process discovery using dependency analysis and heuristics for real-world processes"
"Conformance Checking over Uncertain Event Data (2009)",Conformance Checking,YES,src/rust_implementations/paper_algorithms/algorithms/conformance_checking/mod.rs,high,"Measures how well a process model fits an event log using alignments and fitness metrics"
"Unlocking Non-Block Structured Decisions: Inductive Mining with Choice Graphs (2025)",Choice Graph Miner,YES,src/rust_implementations/paper_algorithms/algorithms/choice_graph_miner/mod.rs,high,"Discovers non-block structured processes using choice graphs that extend traditional Petri nets"
"ProReco: A Process Discovery Recommender System (2025)",Process Recommender,YES,src/rust_implementations/paper_algorithms/algorithms/process_recommender/mod.rs,medium,"Automated system that selects the most appropriate process discovery algorithm based on event log characteristics"
"OCEL (Object-Centric Event Log) 2.0 Specification (2024)",Object-Centric Process Mining,YES,src/rust_implementations/paper_algorithms/algorithms/object_centric/mod.rs,high,"Extends traditional process mining to handle complex business processes with multiple interacting entities"
"Object-Centric Local Process Models (2024)",Object-Centric Local Process Mining,YES,src/rust_implementations/paper_algorithms/algorithms/object_centric_local/mod.rs,high,"Discovers behavioral patterns specific to different types of objects and their interactions"
"Alignment Approximation for Process Trees (2009)",Alignment Approximation,NO,,medium,"Approximation technique for computing alignments for process trees efficiently"
"Conformance Checking for Trace Fragments Using Infix and Postfix Alignments (2022)",Trace Fragment Alignment,NO,,medium,"Computes alignments for partial trace fragments using infix and postfix alignment techniques"
"Object-Centric Alignments (2023)",Object-Centric Alignments,NO,,high,"Alignment computation for object-centric process models and logs"
"Precision and Fitness in Object-Centric Process Mining (2021)",Object-Centric Precision/Fitness,NO,,high,"Quality metrics for evaluating object-centric process models"
"Discovering Object-Centric Petri Nets (2020)",Object-Centric Petri Nets,NO,,high,"Discovery of Petri net models from object-centric event logs"
"OCPQ: Object-Centric Process Querying & Constraints (2025)",Object-Centric Process Querying,NO,,medium,"Query language for object-centric process data with constraint support"
"Discovering Sound Free-choice Workflow Nets With Non-block Structures (2023)",Non-block Structure Discovery,NO,,medium,"Discovery of sound free-choice workflow nets with non-block structured decisions"
"Comparing Ordering Strategies For Process Discovery Using Synthesis Rules (2023)",Synthesis Rules,NO,,low,"Comparison of different ordering strategies for process discovery algorithms"
"Discovering Process Models With Long-Term Dependencies While Providing Guarantees (2022)",Long-Term Dependency Discovery,NO,,medium,"Process discovery algorithm that handles long-term dependencies between activities"
"Discovering High-Quality Process Models Despite Data Scarcity (2023)",Data-Scarce Discovery,NO,,medium,"Process discovery techniques for situations with limited event data"
"Discovering More Precise Process Models from Event Logs by Filtering Out Chaotic Activities (2017)",Chaotic Activity Filtering,NO,,low,"Technique to improve model precision by filtering out noisy/chaotic activities"
"Discovering Relaxed Sound Workflow Nets using Integer Linear Programming (2017)",ILP-based Discovery,NO,,medium,"Uses integer linear programming to discover relaxed sound workflow nets"
"Free-Choice Nets With Home Clusters Are Lucent (2021)",Lucent Property Verification,NO,,low,"Property verification for free-choice Petri nets with home clusters"
"Markings in Perpetual Free-Choice Nets Are Fully Characterized by Their Enabled Transitions (2018)",Marking Characterization,NO,,low,"Theoretical result about marking characterization in free-choice workflow nets"
"Reduction Using Induced Subnets To Systematically Prove Properties For Free-Choice Nets (2021)",Induced Subnet Reduction,NO,,low,"Property proving technique using induced subnet reduction"
"Deciding Reachability and the Covering Problem with Diagnostics for Sound Acyclic Free-Choice Workflow Nets (2026)",Reachability/Covering Problem,NO,,medium,"Algorithm for deciding reachability and covering problem with diagnostics"
"Revealing Inherent Concurrency in Event Data: A Partial Order Approach to Process Discovery (2025)",Partial Order Discovery,NO,,medium,"Process discovery using partial order representations of event data"
"Grouping Local Process Models (2023)",Local Process Model Grouping,NO,,medium,"Techniques for grouping and organizing discovered local process models"
"Interest-Driven Discovery of Local Process Models (2017)",Interest-Driven LPM,NO,,medium,"Discovers local process models based on user-defined interests"
"Mining Local Process Models (2016)",Local Process Models,NO,,high,"Discovers local process models that describe frequent behavior patterns"
"Heuristic Approaches for Generating Local Process Models through Log Projections (2016)",Projection-based LPM,NO,,medium,"Generates local process models using log projection techniques"
"Learning Hybrid Process Models From Events: Process Discovery Without Faking Confidence (2017)",Hybrid Process Models,NO,,medium,"Discovers hybrid process models without overconfidence"
"RapidProM: Mine Your Processes and Not Just Your Data (2017)",RapidProM Framework,NO,,low,"Process mining framework for efficient process discovery"
"Event Stream-Based Process Discovery using Abstract Representations (2017)",Stream-based Discovery,NO,,medium,"Process discovery from event streams using abstract representations"
"Generating Time-Based Label Refinements to Discover More Precise Process Models (2017)",Time-Based Refinement,NO,,low,"Improves model precision by using time-based label refinements"
"Event Abstraction for Process Mining using Supervised Learning Techniques (2016)",Supervised Learning Abstraction,NO,,medium,"Uses machine learning for event abstraction in process mining"
"Log-based Evaluation of Label Splits for Process Models (2016)",Label Split Evaluation,NO,,low,"Evaluates different label split strategies for process models"
"A Framework for Extracting and Encoding Features from Object-Centric Event Data (2022)",Object-Centric Features,NO,,medium,"Feature extraction techniques for object-centric event data"
"Defining Cases and Variants for Object-Centric Event Data (2022)",OCEL Case/Variant Definition,NO,,medium,"Defines case and variant concepts for object-centric event logs"
"Clustering Object-Centric Event Logs (2022)",OCEL Clustering,NO,,medium,"Clustering techniques for object-centric event logs"
"Predictive Object-Centric Process Monitoring (2022)",Object-Centric Prediction,NO,,high,"Predictive monitoring techniques for object-centric processes"
"OPerA: Object-Centric Performance Analysis (2022)",Object-Centric Performance,NO,,medium,"Performance analysis for object-centric process mining"
"PM4Py-GPU: a High-Performance General-Purpose Library for Process Mining (2022)",GPU-Accelerated Mining,NO,,low,"GPU acceleration for process mining algorithms"
"A Scalable Database for the Storage of Object-Centric Event Logs (2022)",OCEL Database Storage,NO,,low,"Database design for storing object-centric event logs"
"A Python Tool for Object-Centric Process Mining Comparison (2022)",OCEL Comparison Tool,NO,,low,"Comparison tool for different object-centric process mining techniques"
"Control-Flow-Based Querying of Process Executions from Partially Ordered Event Data (2022)",Partial Order Querying,NO,,medium,"Query language for process executions based on partial order"
"High-Level Event Mining: A Framework (2022)",High-Level Event Mining,NO,,medium,"Framework for mining high-level events from low-level event data"
"High-Level Event Mining: Overview and Future Work (2024)",High-Level Event Mining Overview,NO,,low,"Overview of high-level event mining techniques"
"Detecting Context-Aware Deviations in Process Executions (2022)",Context-Aware Deviation Detection,NO,,medium,"Detects deviations considering execution context"
"Detecting Surprising Situations in Event Data (2022)",Surprising Situation Detection,NO,,medium,"Identifies unexpected or surprising patterns in event data"
"Quantifying Temporal Privacy Leakage in Continuous Event Data Publishing (2022)",Temporal Privacy Leakage,NO,,low,"Measures privacy leakage in continuous event data publishing"
"Interactive Process Improvement using Simulation of Enriched Process Trees (2022)",Interactive Simulation,NO,,medium,"Interactive tool for process improvement using simulation"
"Analyzing Process-Aware Information System Updates Using Digital Twins of Organizations (2022)",Digital Twin Analysis,NO,,low,"Uses digital twins to analyze PAIS updates"
"How to Write Beautiful Process-and-Data-Science Papers? (2022)",Paper Writing Guide,NO,,low,"Guide for writing high-quality process and data science papers"
"Precision and Fitness in Object-Centric Process Mining (2021)",Object-Centric Quality Metrics,NO,,high,"Quality metrics specifically for object-centric process models"
"Trustworthy Artificial Intelligence and Process Mining: Challenges and Opportunities (2021)",Trustworthy AI in PM,NO,,low,"Discussion of challenges and opportunities for trustworthy AI in process mining"
