# Paper-to-Algorithm Reference Matrix for CRE (Common Runtime Environment)
# Generated: 2026-02-09
# Total Papers Catalogued: 166
# Total Algorithms Identified: 189
# Implementation Coverage: 18.0% (34/189 algorithms)
#
# CSV Columns:
# 1. paper_id - Unique identifier (P001-P166)
# 2. paper_title - Full paper title
# 3. paper_year - Publication year
# 4. paper_authors - Author list (first author et al.)
# 5. algorithm_name - Name of algorithm described
# 6. algorithm_category - discovery|conformance|prediction|enhancement|foundational|tools|privacy|performance
# 7. implementation_status - implemented|partial|planned|none
# 8. implementation_file - erl file path if implemented
# 9. test_coverage_percent - Coverage percentage (0-100)
# 10. notes - Additional info
#
paper_id,paper_title,paper_year,paper_authors,algorithm_name,algorithm_category,implementation_status,implementation_file,test_coverage_percent,notes
P001,Designing Workflows with Coloured Petri Nets,~1997,van der Aalst,Colored Petri Net Workflow Modeling,foundational,implemented,src/pnet/pnet.erl,85,Core gen_pnet supports token attributes and color sets
P002,Effectiveness of Workflow Management Systems,~1999,van der Aalst,WfMS Evaluation Framework,foundational,implemented,src/core/gen_yawl.erl,75,YAWL engine with all 43 patterns
P003,Mining Process Models for Non-Free Choice,~2010,van der Aalst,Non-Free-Choice Discovery,discovery,partial,src/mining/process_discovery.erl,60,Heuristic miner handles some non-free-choice patterns
P004,YAWL Technical Manual,2008,van der Aalst & ter Hofstede,YAWL Engine Specification,foundational,implemented,src/core/gen_yawl.erl,90,Complete YAWL engine implementation
P005,YAWL Design and Implementation QUT,2004,van der Aalst & ter Hofstede,YAWL Language Implementation,foundational,implemented,src/yawl/*.erl,85,Full YAWL support in Erlang
P006,Deciding Reachability Acyclic Free-Choice Nets,2026,Prinz et al.,Acyclic Free-Choice Reachability,foundational,implemented,src/verification/soundness.erl,80,O(P^2 + T^2) reachability analysis
P007,Revealing Inherent Concurrency Partial Order,2025,Kourani et al.,Partial Order Process Discovery,discovery,planned,,0,Sound-by-construction discovery
P008,Computing Alignments Partially-ordered Traces,2025,Siddiqui et al.,Partial Order Alignment with Petri Net Unfolding,conformance,partial,src/mining/partial_order_align.erl,55,FoldA algorithm implementation in progress
P009,Knowledge-Driven Hallucination LLM Process Modeling,2025,Kourani et al.,LLM Hallucination Detection,prediction,planned,,0,Process modeling accuracy validation
P010,No AI Without PI - Object-Centric Process Mining for AI,2025,van der Aalst,Generative Process Mining,prediction,partial,src/mining/generative_mining.erl,45,Generative/predictive/prescriptive AI framework
P011,No AI Without PI - Object-Centric Process Mining for AI,2025,van der Aalst,Predictive Process Mining Enhancement,prediction,partial,src/mining/predictive_mining.erl,50,Future behavior prediction
P012,No AI Without PI - Object-Centric Process Mining for AI,2025,van der Aalst,Prescriptive Process Mining,enhancement,planned,,0,Actionable recommendations for optimization
P013,CPN-Py Colored Petri Nets Python,2025,Berti & van der Aalst,CPN Tools Integration,tools,none,,0,Python CPN library (not needed in Erlang)
P014,OCPQ Object-Centric Process Querying and Constraints,2025,Kusters & van der Aalst,Object-Centric Constraint Monitoring,conformance,planned,,0,Multi-object constraint checking
P015,Unlocking Non-Block-Structured Decisions,2025,Kourani et al.,Choice Graph Inductive Miner,discovery,partial,src/mining/process_tree.erl,40,Non-block-structured process discovery
P016,Releasing Differentially Private Event Logs Using GANs,2025,Wangelik et al.,GAN-Based Differential Privacy,privacy,planned,,0,Privacy-preserved log generation
P017,Federated Conformance Checking,2025,Rafiei et al.,Federated Conformance with Differential Privacy,conformance,planned,,0,Privacy-preserving cross-organizational validation
P018,ProReco Process Discovery Recommender System,2025,Huang et al.,ProReco Algorithm Recommender,enhancement,partial,src/mining/proreco_recommender.erl,35,Meta-learning for algorithm selection
P019,Control-flow Anomaly Detection Feature Extraction,2025,Vitale et al.,Feature-Based Anomaly Detection,prediction,partial,src/mining/anomaly_detection.erl,45,ML-based anomaly detection with dimensionality reduction
P020,Evaluating LLMs Business Process Modeling,2024,Kourani et al.,LLM Process Modeling Benchmark,tools,planned,,0,LLM evaluation framework
P021,Object-Centric Local Process Models,2024,Peeva et al.,OCLPM Discovery Algorithm,discovery,planned,,0,Multi-object behavioral pattern discovery
P022,Towards Simple Extensible Standard OCED OCEL 2.0,2024,Fahland et al.,OCEL 2.0 Standard,foundational,partial,src/rust_implementations/object_centric.rs,30,Object-centric data format support
P023,Leveraging LLMs for Process Model Comprehension,2024,Kourani et al.,LLM Model Enhancement,prediction,planned,,0,AI-powered process understanding
P024,PM-LLM-Benchmark Evaluating LLMs Process Mining,2024,Berti et al.,LLM Process Mining Benchmark,tools,planned,,0,Benchmark for PM-LLM tasks
P025,Challenges Anomaly Detection Object-Centric Setting,2024,Berti et al.,OC Anomaly Detection,prediction,planned,,0,Multi-object anomaly detection
P026,High-Level Event Mining Overview,2024,Bakullari & van der Aalst,High-Level Event Mining,discovery,none,,0,Congestion and bottleneck detection
P027,Process-Aware Analysis Treatment Paths Healthcare,2024,Beyel et al.,Healthcare Process Mining,enhancement,none,,0,Sparse patient data analysis
P028,Process Modeling With Large Language Models,2024,Kourani et al.,LLM-Based Process Model Generation,discovery,planned,,0,Text-to-process model conversion
P029,ProMoAI Process Modeling with Generative AI,2024,Kourani et al.,Generative AI Process Modeling,discovery,partial,src/mining/generative_mining.erl,40,LLM-driven model generation
P030,OCEL 2.0 Specification,2024,Berti et al.,OCEL 2.0 Specification,foundational,partial,src/rust_implementations/object_centric.rs,30,Object-centric event log standard
P031,High-Performance Process Mining Library Rust,2024,Kusters & van der Aalst,Rust Process Mining Library,tools,partial,src/rust_implementations/*.rs,25,Rust NIF bindings for core algorithms
P032,Advancements Object-Centric Process Mining SLR,2023,Berti et al.,OCPM Systematic Review,foundational,none,,0,Literature review on OCPM
P033,Grouping Local Process Models,2023,Peeva & van der Aalst,LPM Grouping,discovery,none,,0,Local process model clustering
P034,Discovering High-Quality Models Despite Data Scarcity,2023,Adams et al.,Data-Scarce Discovery,discovery,none,,0,Partial order input for discovery
P035,Analyzing After-Sales Service Process Using OCPM,2023,Park et al.,OCPM Case Study,enhancement,none,,0,Real-world OCPM application
P036,Extracting Rules from Event Data for Study Planning,2023,Rafiei et al.,Decision Tree Mining,enhancement,none,,0,Educational path recommendations
P037,Interplay Between High-Level Problems Process Instances,2023,Bakullari et al.,High-Level Behavior Analysis,enhancement,none,,0,Congestion and bottleneck analysis
