paper_title,algorithm_name,implemented,module_path,priority,notes
"Workflow Mining: Discovering Process Models from Event Logs (2001)",Alpha Algorithm,YES,"/Users/sac/cre/src/mining/alpha_algorithm.erl","high","Core process discovery algorithm from van der Aalst 2001 paper"
"Process Mining: Discovery, Conformance and Enhancement of Business Processes (2011)",Conformance Checking,YES,"/Users/sac/cre/src/mining/conformance.erl","high","Token replay, fitness, precision, generalization metrics"
"Heuristics Miners for Streaming Event Data (2012)",Heuristic Miner,YES,"/Users/sac/cre/src/mining/process_discovery.erl","high","Frequency-based dependency extraction, handles noise"
"Mining Local Process Models (2016)",Local Process Models,NO,"","medium","Process discovery for subprocess patterns"
"Heuristic Approaches for Generating Local Process Models (2016)",Heuristic LPM,NO,"","medium","Heuristic generation of local process models"
"Discovering Object-Centric Petri Nets (2020)",Object-Centric Discovery,NO,"","high","OC PN discovery from object-centric logs"
"Precision and Fitness in Object-Centric Process Mining (2021)",OC Conformance,NO,"","high","Object-centric conformance checking"
"Object-Centric Alignments (2023)",OC Alignments,NO,"","high","Alignment computation for object-centric logs"
"Soundness of Workflow Nets (2011)",Soundness Verification,YES,"/Users/sac/cre/src/verification/soundness.erl","high","WF-net soundness verification with reduction rules"
"Diagnosing Workflow Processes (2001)",Woflan Diagnostics,YES,"/Users/sac/cre/src/diagnostics/woflan.erl","high","Workflow diagnostics and deadlock detection"
"Structural Characterizations of Sound Workflow Nets (1996)",Structural Soundness,YES,"/Users/sac/cre/src/verification/soundness.erl","medium","Structural analysis for soundness"
"Deciding Reachability and the Covering Problem with Diagnostics for Sound Acyclic Free-Choice Workflow Nets (2026)",Reachability Analysis,YES,"/Users/sac/cre/src/verification/soundness.erl","high","State space exploration for reachability"
"Discovering Process Models from Uncertain Event Data (2019)",Uncertain Event Discovery,NO,"","medium","Process discovery from uncertain event data"
"Conformance Checking over Uncertain Event Data (2020)",Uncertain Conformance,NO,"","medium","Conformance checking with uncertainty"
"An XES Extension for Uncertain Event Data (2022)",Uncertain XES,NO,"","low","XES format extension for uncertainty"
"Efficient Construction of Behavior Graphs for Uncertain Event Data (2020)",Behavior Graphs,NO,"","medium","Efficient behavior graph construction"
"Efficient Time and Space Representation of Uncertain Event Data (2020)",Uncertain Data Structures,NO,"","medium","Data structures for uncertain events"
"Probability Estimation of Uncertain Process Trace Realizations (2021)",Uncertain Probability,NO,"","medium","Probability estimation for uncertain traces"
"PROVED: A Tool for Graph Representation and Analysis of Uncertain Event Data (2021)",PROVED Tool,NO,"","low","Uncertain event data visualization"
"Predictive Object-Centric Process Monitoring (2022)",OC Predictive Monitoring,NO,"","high","Object-centric predictive monitoring"
"Predictive Monitoring for Business Processes",Predictive Mining,YES,"/Users/sac/cre/src/mining/predictive_mining.erl","high","Next activity and remaining time prediction"
"Explainable Predictive Decision Mining for Operational Support (2022)",Explainable Prediction,NO,"","medium","Explainable AI for process prediction"
"Text-Aware Predictive Monitoring of Business Processes (2021)",Text-Aware Prediction,NO,"","medium","NLP-based predictive monitoring"
"Event Log Sampling for Predictive Monitoring (2022)",Log Sampling,NO,"","medium","Sampling for efficient prediction"
"Performance-Preserving Event Log Sampling for Predictive Monitoring (2023)",Performance Sampling,NO,"","medium","Performance-aware log sampling"
"Event Stream Based Process Discovery using Abstract Representations (2017)",Stream Discovery,NO,"","high","Online process discovery from streams"
"Heuristics Miners for Streaming Event Data (2012)",Streaming Heuristics,NO,"","high","Streaming process discovery"
"Revealing Inherent Concurrency in Event Data: A Partial Order Approach to Process Discovery (2025)",Partial Order Discovery,NO,"","high","Concurrency-aware process discovery"
"Revisiting the Alpha Algorithm To Enable Real-Life Process Discovery Applications (2023)",Enhanced Alpha,NO,"","high","Improved Alpha algorithm for real-world logs"
"Discovering Process Models With Long-Term Dependencies While Providing Guarantees (2022)",Long-Term Dependencies,NO,"","medium","Discovery with long-range dependencies"
"Discovering High Quality Process Models Despite Data Scarcity (2023)",Data Scarcity Discovery,NO,"","medium","Process discovery from sparse data"
"Discovering More Precise Process Models from Event Logs by Filtering Out Chaotic Activities (2017)",Filter-Based Discovery,NO,"","medium","Noise filtering for better models"
"Free-Choice Nets With Home Clusters Are Lucent (2021)",Lucent Nets,YES,"/Users/sac/cre/src/pnet/pnet_mode.erl","medium","Home cluster property for free-choice nets"
"Markings in Perpetual Free-Choice Nets Are Fully Characterized by Their Enabled Transitions (2018)",Perpetual Free-Choice,YES,"/Users/sac/cre/src/pnet/pnet_marking.erl","medium","Characterization of perpetual free-choice nets"
"Reduction Using Induced Subnets To Systematically Prove Properties For Free-Choice Nets (2021)",Net Reduction,YES,"/Users/sac/cre/src/verification/soundness.erl","medium","Reduction rules for verification"
"Discovering Relaxed Sound Workflow Nets using Integer Linear Programming (2017)",Relaxed Soundness,NO,"","medium","ILP-based relaxed soundness discovery"
"Discovering Sound Free-choice Workflow Nets With Non-block Structures (2023)",Non-Block Discovery,NO,"","medium","Non-blocking workflow net discovery"
"Alignment Approximation for Process Trees (2009)",Alignment Approximation,NO,"","medium","Efficient alignment computation"
"Conformance Checking Approximation using Subset Selection and Edit Distance (2019)",Alignment Approx Edit,NO,"","medium","Edit-distance based alignment"
"Conformance Checking for Trace Fragments Using Infix and Postfix Alignments (2022)",Fragment Alignments,NO,"","medium","Partial trace alignment"
"Model Independent Error Bound Estimation for Conformance Checking Approximation (2021)",Alignment Error Bounds,NO,"","medium","Error bound estimation"
"Federated Conformance Checking (2025)",Federated Conformance,NO,"","medium","Distributed conformance checking"
"Control-Flow-Based Querying of Process Executions from Partially Ordered Event Data (2022)",Querying Executions,NO,"","low","Query language for process logs"
"Defining Cases and Variants for Object-Centric Event Data (2022)",OC Case Definition,NO,"","medium","Case definition for object-centric logs"
"Clustering Object-Centric Event Logs (2022)",OC Clustering,NO,"","medium","Clustering for object-centric logs"
"OPerA: Object-Centric Performance Analysis (2022)",OC Performance,NO,"","medium","Performance analysis for OC logs"
"Process Comparison Using Object-Centric Process Cubes (2021)",OC Comparison,NO,"","medium","Comparative analysis using process cubes"
"OCEL (Object-Centric Event Log) 2.0 Specification (2024)",OCEL 2.0,NO,"","high","Object-centric event log standard"
"OCPQ: Object-Centric Process Querying & Constraints (2025)",OC Process Querying,NO,"","medium","Querying and constraints for OC logs"
"Object-Centric Behavioral Constraints (2017)",OC Behavioral Constraints,NO,"","medium","Behavioral constraints for OC logs"
"Monitoring Constraints in Business Processes Using Object-Centric Constraint Graphs (2022)",OC Constraint Monitoring,NO,"","medium","Real-time constraint monitoring"
"Privacy-Preserving Data Publishing in Process Mining (2021)",Privacy Publishing,NO,"","low","Privacy-aware log publishing"
"Group-Based Privacy Preservation Techniques for Process Mining (2021)",Group Privacy,NO,"","low","Group-based privacy methods"
"PC4PM: A Tool for Privacy/Confidentiality Preservation in Process Mining (2021)",PC4PM Tool,NO,"","low","Privacy preservation tool"
"Practical Aspect of Privacy-Preserving Data Publishing in Process Mining (2009)",Privacy Practical,NO,"","low","Practical privacy techniques"
"Towards Quantifying Privacy in Process Mining (2012)",Privacy Quantification,NO,"","low","Privacy metrics"
"Quantifying Temporal Privacy Leakage in Continuous Event Data Publishing (2022)",Temporal Privacy,NO,"","low","Temporal privacy leakage"
"TraVaG: Differentially Private Trace Variant Generation Using GANs (2023)",Differential Privacy GAN,NO,"","low","GAN-based differential privacy"
"TraVaS: Differentially Private Trace Variant Selection for Process Mining (2021)",DP Trace Selection,NO,"","low","DP trace selection"
"Releasing Differentially Private Event Logs Using Generative Models (2025)",DP Generative Models,NO,"","low","Generative models for DP"
"PM4Py-GPU: a High-Performance General-Purpose Library for Process Mining (2022)",GPU Acceleration,NO,"","low","GPU-based process mining"
"Developing a High-Performance Process Mining Library with Java and Python Bindings in Rust (2024)",Rust Process Mining,NO,"","medium","Rust-based process mining library"
"RapidProM: Mine Your Processes and Not Just Your Data (2017)",RapidProM,NO,"","low","Workflow-based process mining tool"
"Cortado: An Interactive Tool for Data-Driven Process Discovery and Modeling (2021)",Cortado Tool,NO,"","low","Interactive discovery tool"
"A Web-Based Tool for Comparative Process Mining (2022)",Comparative Tool,NO,"","low","Web-based comparison tool"
"Interactive Process Improvement using Simulation of Enriched Process Trees (2022)",SIMPT,NO,"","medium","Simulation-based process improvement"
"SIMPT: Process Improvement Using Interactive Simulation of Time-aware Process Trees (2021)",SIMPT Time,NO,"","medium","Time-aware simulation"
"PMSD: Data-Driven Simulation Using System Dynamics and Process Mining (2020)",System Dynamics,NO,"","medium","System dynamics simulation"
"A Python Tool for Object-Centric Process Mining Comparison (2022)",OC Comparison Tool,NO,"","low","OC process comparison tool"
"Recursion Aware Modeling and Discovery For Hierarchical Software Event Log Analysis (2017)",Recursive Discovery,NO,"","medium","Recursive pattern discovery"
"Mining Process Model Descriptions of Daily Life through Event Abstraction (2017)",Life Mining,NO,"","low","Daily activity mining"
"Event Abstraction for Process Mining using Supervised Learning Techniques (2016)",Event Abstraction,NO,"","medium","ML-based event abstraction"
"Detecting Context-Aware Deviations in Process Executions (2022)",Context Deviation,NO,"","medium","Context-aware deviation detection"
"Detecting Surprising Situations in Event Data (2022)",Surprise Detection,NO,"","medium","Unexpected pattern detection"
"Challenges of Anomaly Detection in the Object-Centric Setting: Dimensions and the Role of Domain Knowledge (2023)",OC Anomaly Detection,YES,"/Users/sac/cre/src/mining/anomaly_detection.erl","high","Object-centric anomaly detection"
"Control-flow anomaly detection by process mining-based feature extraction and dimensionality reduction (2024)",Anomaly ML,YES,"/Users/sac/cre/src/mining/anomaly_detection.erl","medium","ML-based anomaly detection"
"A Framework for Explainable Concept Drift Detection in Process Mining (2021)",Concept Drift,NO,"","medium","Explainable concept drift"
"High-Level Event Mining: A Framework (2021)",High-Level Mining,NO,"","medium","Abstract event mining"
"High-Level Event Mining: Overview and Future Work (2024)",HLEM Overview,NO,"","low","Survey of high-level mining"
"A Framework for Extracting and Encoding Features from Object-Centric Event Data (2022)",OC Feature Extraction,NO,"","medium","Feature extraction for OC logs"
"Process Modeling With Large Language Models (2024)",LLM Modeling,NO,"","high","LLM-based process modeling"
"Process Modeling and Conformance Checking in Healthcare: A COVID-19 Case Study (2022)",Healthcare Mining,NO,"","medium","Healthcare process mining case study"
"Analyzing Medical Data with Process Mining: a COVID-19 Case Study (2022)",Medical Mining,NO,"","medium","Medical process analysis"
"Process-Aware Analysis of Treatment Paths in Heart Failure Patients: A Case Study (2024)",Treatment Path Analysis,NO,"","medium","Healthcare treatment analysis"
"Applying Process Mining on Scientific Workflows: a Case Study on High Performance Computing Data (2023)",HPC Mining,NO,"","low","Scientific workflow mining"
"A Scalable Database for the Storage of Object-Centric Event Logs (2022)",OC Database,NO,"","low","Database for OC logs"
"Inferring Unobserved Events in Systems With Shared Resources and Queues (2021)",Unobserved Events,NO,"","medium","Inferring missing events"
"May I Take Your Order? On the Interplay Between Time and Order in Process Mining (2021)",Time-Order Analysis,NO,"","medium","Time and order relationship"
"Extracting Rules from Event Data for Study Planning (2022)",Rule Extraction,NO,"","medium","Rule extraction from logs"
"Learning Hybrid Process Models From Events: Process Discovery Without Faking Confidence (2017)",Hybrid Models,NO,"","medium","Hybrid process discovery"
"Interest-Driven Discovery of Local Process Models (2017)",Interest-Driven LPM,NO,"","medium","Interest-driven local discovery"
"Grouping Local Process Models (2023)",LPM Grouping,NO,"","medium","Clustering of local models"
"Object-Centric Local Process Models (2023)",OC Local Models,NO,"","high","Local models for OC logs"
"OrgMining 2.0: A Novel Framework for Organizational Model Mining from Event Logs (2021)",Org Mining,NO,"","medium","Organizational mining"
"Evaluating Large Language Models on Business Process Modeling: Framework, Benchmark, and Self-Improvement Analysis (2024)",LLM Benchmark,NO,"","medium","LLM evaluation for BPM"
"PM-LLM-Benchmark: Evaluating Large Language Models on Process Mining Tasks (2024)",PM LLM Benchmark,NO,"","medium","LLM process mining benchmark"
"Leveraging Large Language Models for Enhanced Process Model Comprehension (2024)",LLM Comprehension,NO,"","medium","LLM for model understanding"
"Knowledge-Driven Hallucination in Large Language Models: An Empirical Study on Process Modeling (2025)",LLM Hallucination,NO,"","medium","LLM hallucination study"
"ProMoAI: Process Modeling with Generative AI (2024)",Generative Modeling,NO,"","high","AI-based process modeling"
"Abstractions, Scenarios, and Prompt Definitions for Process Mining with LLMs: A Case Study (2023)",LLM Prompts,NO,"","medium","LLM prompting for process mining"
"The Imprecisions of Precision Measures in Process Mining (2017)",Precision Analysis,NO,"","low","Precision metric analysis"
"Evaluating Conformance Measures in Process Mining using Conformance Propositions (2018)",Conformance Evaluation,NO,"","low","Conformance metric evaluation"
"An Integrated Framework for Process Discovery Algorithm Evaluation (2018)",Discovery Evaluation,NO,"","low","Discovery algorithm comparison"
"A Python Extension to Simulate Petri nets in Process Mining (2021)",Petri Net Simulation,NO,"","low","Petri net simulation"
"CPN-Py: A Python-Based Tool for Modeling and Analyzing Colored Petri Nets (2025)",Colored Petri Nets,NO,"","low","Colored Petri net analysis"
"Trustworthy Artificial Intelligence and Process Mining: Challenges and Opportunities (2021)",Trustworthy AI,NO,"","low","AI ethics in process mining"
"No AI Without PI! Object-Centric Process Mining as the Enabler for Generative, Predictive, and Prescriptive Artificial Intelligence (2025)",AI Foundation,NO,"","high","OC process mining for AI foundation"
"Advancements and Challenges in Object-Centric Process Mining: A Systematic Literature Review (2023)",OC Survey,NO,"","low","Survey of OC process mining"
"How to Write Beautiful Process-and-Data-Science Papers? (2022)",Writing Guide,NO,"","low","Academic writing guide"
"A Collection of Simulated Event Logs for Fairness Assessment in Process Mining (2023)",Fairness Logs,NO,"","low","Fairness evaluation dataset"
"Fairness-Aware Process Mining",Fairness Mining,NO,"","medium","Fairness in process mining"
"Resolving Uncertain Case Identifiers in Interaction Logs: A User Study (2022)",Case Resolution,NO,"","medium","Uncertain case ID resolution"
"Uncertain Case Identifiers in Process Mining: A User Study of the Event-Case Correlation Problem on Click Data (2022)",Case Correlation,NO,"","medium","Event correlation study"
"Discovering Relaxed Sound Workflow Nets using Integer Linear Programming",ILP Soundness,NO,"","medium","ILP for soundness checking"
"Generating Time-Based Label Refinements to Discover More Precise Process Models (2017)",Time Refinement,NO,"","medium","Time-based model refinement"
"Unlocking Non-Block-Structured Decisions: Inductive Mining with Choice Graphs (2025)",Inductive Mining,NO,"","high","Inductive process discovery"
"Computing Alignments for Partially-ordered Traces Through Petri Net Unfoldings (2025)",Unfolding Alignments,NO,"","medium","Petri net unfolding for alignment"
"Freezing Sub-Models During Incremental Process Discovery (2021)",Incremental Discovery,NO,"","high","Incremental process discovery"
"Comparing Ordering Strategies For Process Discovery Using Synthesis Rules (2023)",Synthesis Rules,NO,"","medium","Synthesis rule comparison"
"Mining Uncertain Event Data in Process Mining (2019)",Uncertain Mining,NO,"","medium","General uncertain event mining"
"ProReco: A Process Discovery Recommender System (2025)",Discovery Recommender,NO,"","medium","Algorithm recommendation"
"Visualization of Trace Variants from Partially Ordered Event Data (2020)",PO Visualization,NO,"","low","Partial order visualization"
"Architecture of the Workflow Management System",YAWL,YES,"/Users/sac/cre/src/core/gen_yawl.erl","high","YAWL workflow engine"
"Workflow Patterns (43 patterns)",Workflow Patterns,YES,"/Users/sac/cre/src/patterns/*.erl","high","All 43 control-flow patterns"
